First,1.33,1.43,1.30
First,1.33,1.40,1.28
First,1.26,1.42,1.29
First,1.26,1.44,1.25
First,1.27,1.42,1.28
First,1.31,1.41,1.28
First,1.32,1.42,1.31
First,1.29,1.46,1.28
First,1.29,1.44,1.32
First,1.27,1.44,1.27
First,1.33,1.42,1.29
First,1.39,1.40,1.26
First,1.37,1.44,1.27
First,1.31,1.43,1.29
First,1.32,1.41,1.33
First,1.27,1.41,1.36
First,1.28,1.35,1.27
First,1.32,1.42,1.34
First,1.41,1.50,1.12
First,1.22,1.61,1.37
First,1.28,1.27,1.38
First,1.06,1.08,1.10
First,0.78,1.05,0.90
First,0.52,0.81,0.76
First,0.35,0.58,0.59
First,0.35,0.57,0.49
First,0.55,0.69,0.65
First,0.74,0.78,0.78
First,0.67,0.87,0.90
First,0.79,0.91,0.90
First,0.86,0.95,0.96
First,0.95,0.98,1.02
First,1.22,1.20,1.19
First,1.23,1.36,1.23
First,1.61,1.49,1.50
First,1.70,1.89,1.49
First,1.93,1.91,2.91
First,2.03,2.00,2.05
First,2.20,2.20,2.22
First,2.41,2.23,2.50
First,2.52,2.60,2.57
First,2.43,2.57,2.49
First,2.39,2.33,2.89
First,2.62,2.72,2.46
First,2.66,2.42,2.77
First,2.87,2.81,2.74
First,2.96,2.86,2.80
First,2.52,2.84,2.79
First,2.48,2.58,2.63
First,2.62,2.77,2.60
First,2.00,2.44,2.19
First,1.87,2.36,1.92
First,1.87,1.91,1.85
First,1.87,1.85,1.85
First,1.86,1.89,1.82
First,1.95,1.95,1.89
First,1.97,2.03,1.98
First,2.01,2.02,1.95
First,2.04,2.02,2.00
First,2.09,2.04,2.07
First,2.20,2.21,2.17
First,2.21,2.19,2.18
First,2.14,2.24,2.16
First,2.28,2.15,2.23
First,2.14,2.26,2.23
First,2.23,2.29,2.26
First,2.33,2.39,2.74
First,2.26,2.52,2.27
First,2.17,2.42,2.38
First,2.37,2.36,2.40
First,2.53,2.60,2.54
First,2.77,2.87,2.74
First,2.81,3.02,2.89
First,2.80,3.01,2.97
First,2.84,3.09,3.07
First,2.77,3.05,2.96
First,2.66,3.06,2.85
First,2.57,2.86,2.74
First,2.11,2.68,2.63
First,1.99,2.58,2.40
First,1.82,2.37,2.18
First,1.85,2.17,2.01
First,1.73,2.10,1.95
First,1.59,2.02,1.87
First,1.69,1.94,1.81
First,1.70,2.01,1.80
First,1.99,1.68,1.73
First,2.24,1.77,2.09
First,2.52,2.23,2.20
First,2.91,2.65,2.61
First,3.74,2.80,2.85
First,3.47,3.10,3.21
First,3.93,3.47,3.53
First,4.31,3.80,3.89
First,4.64,4.15,4.33
First,4.86,4.47,4.57
First,5.03,4.87,5.04
First,5.31,5.12,5.20
First,5.44,5.36,5.30
First,5.41,5.65,5.52
First,5.65,5.69,5.54
First,5.69,5.99,6.02
First,5.77,5.84,5.80
First,5.80,5.85,5.85
First,5.83,5.93,5.97
First,5.82,5.98,5.99
First,5.87,6.06,5.98
First,5.88,6.07,6.01
First,5.82,6.08,6.03
First,5.88,6.11,6.04
First,5.75,6.14,6.07
First,5.94,6.10,6.05
